,,,,,Ultraserv Automated Services,,,
,,,,,"16722 Parkside Ave, ",,,
,,,,,"Cerritos, CA, 90703",,,
Product Rank Report,,,,,,,,
,,,,,,,,
Start Date,,End Date,,Report Date,,,,
2025-12-01,,2025-12-31,,12-23-2025 04:09:58 PST,,,,
,,,,,,,,
Rank,Item Description,Item #,Category,Quantity,Quantity(Previous period),Difference,Status,Amount
146,Easy Mac Original Cups,PC10936,Hot Food,151,299,-148,▼,791.05
147,Butterfinger,PC10882,Candy,151,258,-107,▼,610.5
148,Cereal Cinnamon Toast Crunch,AVR15434,Cereal,149,293,-144,▼,694.25
149,Doritos Cool Ranch 2.5oz,AVR00148,Chips,148,254,-106,▼,884.95
150,Peace Tea Razzleberry 16oz,AVR25513,Bev Coffee & Tea,147,241,-94,▼,581.69
151,Old Spice Deodorant,PC11021,Sundry Items,146,280,-134,▼,1067.4
152,Chapstick,PC10888,Sundry Items,145,193,-48,▼,835.15
153,Lays Limon 1.5oz,AVR20335,Chips,145,246,-101,▼,416.94
154,SunChips Garden Salsa 2.375oz,AVR19510,Chips,143,233,-90,▼,869.37
155,Clear Eyes Solution 0.2oz,PC10897,Sundry Items,141,205,-64,▼,1007.5
156,Dolly Madison Golden Cream Cake,PC16523,Pastry,141,201,-60,▼,421.34
157,Maruchan Lime Chili Shrimp Cup Soup,PC10991,Hot Food,140,286,-146,▼,450.02
158,Peace Tea Georgia Peach 16oz,AVR25512,Bev Coffee & Tea,136,250,-114,▼,529.19
159,FR Parfait Mixed Berry,AVR26234,Fresh Food,135,214,-79,▼,1011.67
160,Starbucks Caramel Frappuccino RTD 9.5oz,PC21202,Bev Coffee & Tea,135,263,-128,▼,784.44
161,Anker Power Port 32W Wall Charger,AVR19517,Electronics,134,201,-67,▼,2914.39
162,Powerade Lemon Lime 20oz,PC21237,Bev 20 Oz Bottle,134,277,-143,▼,728.5
163,HK Anderson PB Pretzel Nuggets 2.5oz,AVR06055,Snack,133,209,-76,▼,552.9
164,Cheez-It White Cheddar 1.5oz,PC14364,Snack,132,195,-63,▼,321.93
165,Nongshim Spicy Shrimp Noodle Soup,PC11016,Hot Food,131,192,-61,▼,564.35
166,Digiorno Four Cheese Pizza,PC14014,Frozen Food,127,195,-68,▼,1419.12
167,Maruchan Ramen Bowl Soup Hot & Spicy,PC10988,Hot Food,126,288,-162,▼,594.81
168,FR SLB Triangle Ham Wheat,AVR26227,Fresh Food,125,227,-102,▼,988.61
169,Lays BBQ 2.25oz,AVR00146,Chips,125,184,-59,▼,755.05
170,Tresemme Non Aerosol Hairspray,PC11087,Sundry Items,124,176,-52,▼,921
171,SunChips Harvest Cheddar 2.375oz,AVR19511,Chips,124,225,-101,▼,776.65
172,Chester's Fries Flamin Hot,AVR08848,Chips,124,239,-115,▼,331.9
173,FR Snack Double & Cheese Cup,AVR26211,Fresh Food,123,194,-71,▼,783.53
174,Kettle Sea Salt Chips 2.0oz,AVR19465,Chips,121,177,-56,▼,671.65
175,Cereal Honey Nut Cheerios,PC10886,Cereal,121,197,-76,▼,554.7
176,Stouffers Lasagna with Meat Sauce,PC11074,Frozen Food,119,199,-80,▼,1249.91
177,Cliff Bar Peanut Butter,PC10900,Healthy Bars,118,196,-78,▼,543.08
178,Secret Outlast Deodorant,AVR16128,Sundry Items,114,186,-72,▼,816.3
179,Ruffles Regular,PC14365,Chips,114,181,-67,▼,137.07
180,Benadryl,PC10866,Sundry Items,113,244,-131,▼,651
181,Boulder Malt Vinegar & Sea Salt Chips,PC10877,Chips,112,165,-53,▼,334.32
182,Pepperidge Farms Milano Cookies 1.5oz,AVR19408,Cookies & Crackers,110,241,-131,▼,575.99
183,Trident Spearmint,PC11088,Candy Gum & Mints,110,204,-94,▼,482.49
184,Wonderful Pistachios No Shell 2.5oz,AVR19414,Nuts,107,201,-94,▼,731.44
185,FR SLB Triangle Tuna Salad Wheat,AVR26229,Fresh Food,107,177,-70,▼,713.58
186,Mountain Dew 20oz,PC10812,Bev 20 Oz Bottle,105,208,-103,▼,524.65
187,Chobani Strawberry,PC10733,Fresh,105,146,-41,▼,347.49
188,Kettle Krinkle Cut Salt & Pepper Chips 2.0oz,AVR19467,Chips,103,123,-20,▼,503.47
189,Sanders Mini Dark Chocolate Sea Salt Caramels 3.75oz,AVR19407,Candy,102,177,-75,▼,891.9
190,FR SLB Multigrain Turkey & Bacon Club,AVR26220,Fresh Food,101,221,-120,▼,930.13
191,Sahale Cashews Pomegranite With Vanilla,PC11050,Nuts,101,101,0,-,365.91
192,Nature Valley Granola Oat & Honey,PC11007,Healthy Bars,99,167,-68,▼,273.81
193,Ruffles Baked Cheddar & Sour Cream,PC11048,Chips,99,130,-31,▼,133.3
194,Cactus Cooler 12oz,PC14009,Bev 12 Oz Can,99,147,-48,▼,72.17
195,Big Texas Cinnamon Roll,PC16522,Pastry,97,119,-22,▼,270.97
196,Lays Chile Lemon 2.25oz,AVR20474,Chips,95,186,-91,▼,582.2
197,Lunchables Turkey & Cheddar,PC10762,Fresh,95,163,-68,▼,364.6
198,Maruchan Shrimp Cup Soup,PC16521,Hot Food,95,149,-54,▼,310.57
199,Gillette Shaving Cream,PC10944,Sundry Items,94,174,-80,▼,670
200,Starry 20oz,AVR17147,Bev 20 Oz Bottle,94,119,-25,▼,464.5
201,Rxbar Protein Honey Cinnamon Peanut Butter,AVR22118,Healthy Bars,94,170,-76,▼,413.61
202,Dove Milk Chocolate Almond Bar,PC10934,Frozen Ice Cream,92,164,-72,▼,555.39
203,Tampax Regular,AVR18805,Sundry Items,91,152,-61,▼,1042.75
204,Stouffers Mac and Cheese,PC11073,Frozen Food,91,186,-95,▼,952.09
205,Muscle Milk Chocolate 14oz,AVR27451,Bev Other,88,142,-54,▼,668.74
206,Dunkin Donuts Mocha 13.7oz,PC11163,Bev Coffee & Tea,88,136,-48,▼,550
207,SS Energy Bites,AVR28666,Fresh Food,87,39,48,▲,453.91
208,Bumble Bee Tuna Mayo & Crackers 3.5oz,PC10881,Snack,86,125,-39,▼,432.21
209,Anker USB-C to USB-C 10ft Cable,AVR19515,Electronics,85,153,-68,▼,2267.37
210,Kettle Jalapeno Chips 2.0oz,AVR19466,Chips,85,123,-38,▼,368.23
211,FR SLB Triangle Club Wheat,PC10751,Fresh Food,84,132,-48,▼,558.12
212,Pure Leaf Sweet Tea - 18.5oz,PC21222,Bev Coffee & Tea,84,152,-68,▼,450.35
213,Mountain Diet Dew 20oz,AVR09658,Bev 20 Oz Bottle,83,175,-92,▼,455.25
214,Boom Chicka Popcorn Sweet & Salty 1oz,AVR19409,Snack,82,122,-40,▼,364.3
215,Chobani Blueberry,PC10730,Fresh,82,96,-14,▼,292.98
216,FR SLB Triangle Egg Salad Wheat,AVR26230,Fresh Food,81,157,-76,▼,514.41
217,Blue Diamond Almonds Whole Natural,PC10875,Nuts,81,117,-36,▼,305.82
218,Dramamine Motion Sickness Chewable,AVR18857,Sundry Items,80,129,-49,▼,472.25
219,Schweppe's Ginger Ale 20oz,AVR00149,Bev 20 Oz Bottle,80,177,-97,▼,429.4
220,FR SLB Croissant Ham,AVR26217,Fresh Food,78,164,-86,▼,739.34
221,Monster Low Carb 16oz,PC10809,Bev Energy Drinks,78,111,-33,▼,167.08
222,Amys Enchilada Cheese,PC16501,Frozen Food,77,101,-24,▼,819.45
223,Band Aid Bandage Travel,PC10859,Sundry Items,77,128,-51,▼,469.25
224,Trolli Sour Brite Very Berry 5oz,AVR24779,Candy,76,132,-56,▼,431.15
225,Milk Shamrock Whole White 12oz,AVR22599,Bev Other,76,146,-70,▼,386
226,Bare Baked Crunchy Cinnamon Apple Chips,AVR15123,Snack,74,89,-15,▼,410.13
227,FR SLB Triangle PBJ White,AVR26232,Fresh Food,74,144,-70,▼,289.88
228,SS Kings Hawaiian Pretzel Bun Trio,AVR27438,Fresh Food,73,45,28,▲,1000.48
229,FR ESL Buffalo Chicken Pinwheels 10.05oz,AVR26212,Fresh Food,72,121,-49,▼,710.68
230,Boulder Jalapeno Cheddar Chips,PC16236,Chips,71,104,-33,▼,238.1
231,Snapple Zero Sugar Peach Tea 16oz,AVR18728,Bev Other,70,103,-33,▼,82.77
232,7UP Zero Sugar Lemon Lime 12oz,AVR15563,Bev 12 Oz Can,70,107,-37,▼,45.47
233,Nerds Gummy Clusters Rainbow 5oz,AVR25676,Candy,69,102,-33,▼,385.65
234,Anker USB-C to Lightning 6ft Cable,AVR19716,Electronics,68,128,-60,▼,1799.33
235,Dentek Flossers,AVR17394,Sundry Items,68,116,-48,▼,394.75
236,Cliff Bar White Chocolate Macadamia,PC10901,Healthy Bars,67,120,-53,▼,308.64
237,Cotton Swabs,PC10906,Sundry Items,66,83,-17,▼,381.75
238,Dole Lemonade 20oz,AVR20000,Bev 20 Oz Bottle,66,117,-51,▼,345.65
239,Nail Clippers,PC11005,Sundry Items,65,120,-55,▼,384.25
240,Otis Chocolate Chunk Cookie,PC11023,Cookies & Crackers,65,98,-33,▼,78.2
241,Minute Maid Pink Lemonade 20oz,AVR06020,Bev 20 Oz Bottle,63,141,-78,▼,290.1
242,Nature Valley Granola Peanut Butter,PC11008,Healthy Bars,63,93,-30,▼,156.39
243,Claritin,PC10896,Sundry Items,62,101,-39,▼,452.75
244,Sheila G's Brittle Salted Caramel Brownie 2.75oz,AVR19406,Snack,62,145,-83,▼,438.65
245,Fairlife Strawberry Milk 14oz,AVR18527,Bev Other,62,113,-51,▼,360.55
246,Muscle Milk Vanilla 14oz,AVR27452,Bev Other,61,116,-55,▼,472.44
247,Cereal Frosted Flakes,PC10885,Cereal,61,97,-36,▼,220.41
248,El Monterey Jalapeno Egg Cheese Burrito,PC10939,Frozen Food,61,114,-53,▼,200.99
249,Brisk 12oz,PC16248,Bev 12 Oz Can,61,72,-11,▼,45.1
250,Burt's Bees Cucumber & Mint Facial Towelettes,AVR20024,Sundry Items,60,86,-26,▼,518.4
251,Banana Boat Sport Sunscreen,PC11078,Sundry Items,60,92,-32,▼,448.75
252,Trader Joe's 1,AVR10757,Trader Joe's,60,79,-19,▼,359.4
253,Jack Links Peppered Beef Jerky 80 cal.,PC16529,Snack,60,83,-23,▼,288.73
254,Grandmas Peanut Butter Cookie,PC10947,Cookies & Crackers,58,80,-22,▼,221.03
255,Manzanita Sol Apple 12oz,AVR22954,Bev 12 Oz Can,58,80,-22,▼,44.71
256,Dr Pepper Diet 12oz,PC16250,Bev 12 Oz Can,57,55,2,▲,118.75
257,Oi Ocha Green Tea Unsweetened,PC10813,Bev Coffee & Tea,55,109,-54,▼,324.17
258,Pepe's Chicharrones Pork Rinds,PC16492,Chips,55,87,-32,▼,43.67
259,Jarritos Gummies 8oz,AVR25675,Candy,54,84,-30,▼,350.5
260,Wonderful Pistachios 100Cal Sweet Chili 1.25oz,AVR19413,Nuts,53,66,-13,▼,217.72
261,Brookside Dark Chocolate Acai & Blueberry 7oz,AVR21356,Candy,52,65,-13,▼,486.35
262,Alka Seltzer,PC10852,Sundry Items,52,102,-50,▼,297.6
263,Dove Vanilla Dark Chocolate Bar,PC10935,Frozen Ice Cream,51,74,-23,▼,301.74
264,5 Gum Peppermint Cobalt,PC10848,Candy Gum & Mints,51,59,-8,▼,115.3
265,Path Water WLB 20.3oz,AVR21371,Bev Water,49,59,-10,▼,465.5
266,Pocky Strawberry Sticks 2.47oz,AVR23602,Candy,49,113,-64,▼,261
267,Vitamin Water XXX 20oz,PC10833,Bev Water,49,96,-47,▼,205.07
268,Monster Mango 16oz,PC16475,Bev Energy Drinks,49,35,14,▲,175.93
269,FR SLB Salad Chicken Caesar,AVR26222,Fresh Food,47,59,-12,▼,505.01
270,FR Fruit Mixed,AVR26240,Fresh Food,47,87,-40,▼,327.45
271,Hershey Cookies & Cream Snack Mix 4oz,AVR25678,Snack,47,84,-37,▼,281.2
272,Miss Vickies Sea Salt & Vinegar XVL 1.875oz,AVR25913,Chips,47,70,-23,▼,271.08
273,Pepsi 16oz Can,AVR21365,Bev Other,47,64,-17,▼,267
274,Reeses Pieces Peanut Butter Cups,PC16485,Candy,47,67,-20,▼,183.66
275,Altoids Peppermint Mints,PC10856,Candy Gum & Mints,46,76,-30,▼,260.8
276,Dole Mandarin Oranges,PC10923,Snack,46,66,-20,▼,202.25
277,Belvita Biscuit Blueberry,PC14363,Snack,46,60,-14,▼,148.51
278,Gatorade Lemon Lime 11.6oz Cans,AVR23584,Bev Other,45,31,14,▲,264
279,Crush Orange 20oz,PC16273,Bev 20 Oz Bottle,44,85,-41,▼,234.4
280,Lunchables Ham & Cheddar,PC10761,Fresh,44,98,-54,▼,189.49
281,Sahale Honey Almonds,PC11051,Nuts,44,75,-31,▼,158.58
282,Chobani Peach,PC10732,Fresh,44,63,-19,▼,118.6
283,Orchard Valley Almonds Dark Chocolate,AVR11112,Nuts,43,87,-44,▼,275.73
284,Motrin,PC11002,Sundry Items,42,64,-22,▼,271.62
285,Baskin Robbins Cookies N Cream Pint,PC16510,Frozen Ice Cream,41,127,-86,▼,426.51
286,Gushers Fruit Tropical 4.25oz,AVR24780,Candy,41,74,-33,▼,257.25
287,5 Gum Spearmint Rain,PC16065,Candy Gum & Mints,41,74,-33,▼,64.9
288,Beer Bud Light Aluminum Can 16oz,AVR24555,Bev Beer & Wine,40,46,-6,▼,347.72
