Micromarket,User Name,Date,Product Code,Product,Category,Change Type,Cost,Quantity,Total Product cost,Product price,Total Product Price,Site,TotalCost
The Westin Long Beach,Elmer Mancia,2025-12-08,PC11026,Otis Muffin Wild Blueberry,Pastry,Spoilage,0.98,1.0,0.98,3.75,3.75,,
The Westin Long Beach,Rony Perez,2025-12-08,PC10744,FR SLB Pasta Salad Mike's Tuna Mac Small,Fresh Food,Shrinkage,4.36,1.0,4.36,15.99,15.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26234,FR Parfait Mixed Berry,Fresh Food,Spoilage,2.4,1.0,2.4,8.99,8.99,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26225,FR SLB Sub Turkey & Cheese,Fresh Food,Spoilage,3.56,4.0,14.24,12.49,49.96,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR27343,SS Pineapple & Tajin,Fresh Food,Spoilage,3.31,1.0,3.31,11.49,11.49,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26219,FR SLB EL Cubano 8oz,Fresh Food,Spoilage,3.92,2.0,7.84,13.99,27.98,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR26217,FR SLB Croissant Ham,Fresh Food,Spoilage,3.7,6.0,22.2,12.99,77.94,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR20000,Dole Lemonade 20oz,Bev 20 Oz Bottle,Spoilage,1.04,2.0,2.08,6.0,12.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,PC10997,Milk Shamrock Lowfat 7oz,Bev Other,Spoilage,0.76,10.0,7.6,4.5,45.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR00140,Smartfood White Cheddar 1.75oz,Chips,Spoilage,1.33,7.0,9.31,6.25,43.75,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR17147,Starry 20oz,Bev 20 Oz Bottle,Spoilage,1.05,5.0,5.25,6.0,30.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR14655,Dr Pepper Zero 20oz,Bev 20 Oz Bottle,Spoilage,1.27,3.0,3.81,6.0,18.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR17147,Starry 20oz,Bev 20 Oz Bottle,Spoilage,1.04,7.0,7.28,6.0,42.0,,
The Westin Long Beach,Elmer Mancia,2025-12-08,AVR27445,SS Oreo Delight Dessert,Fresh Food,Spoilage,2.28,3.0,6.84,8.99,26.97,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26241,FR Onion Roll Pastrami Reuben,Fresh Food,Spoilage,3.57,1.0,3.57,12.49,12.49,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26241,FR Onion Roll Pastrami Reuben,Fresh Food,Shrinkage,3.57,2.0,7.14,12.49,24.98,,
The Westin Long Beach,Rony Perez,2025-12-08,AVR26241,FR Onion Roll Pastrami Reuben,Fresh Food,Shrinkage,3.57,1.0,3.57,12.49,12.49,,
